"pollster_name","candidate","percentage","party","sample_size","state","numeric_grade"
"St. Anselm","Kamala Harris",51,"DEM",2791,"New Hampshire",2.4
"St. Anselm","Donald Trump",46,"REP",2791,"New Hampshire",2.4
"St. Anselm","Chase Oliver",1,"LIB",2791,"New Hampshire",2.4
"St. Anselm","Cornel West",0,"IND",2791,"New Hampshire",2.4
"St. Anselm","Jill Stein",0,"GRE",2791,"New Hampshire",2.4
"AtlasIntel","Kamala Harris",46.4,"DEM",1458,"Arizona",2.7
"AtlasIntel","Donald Trump",50.6,"REP",1458,"Arizona",2.7
"AtlasIntel","Jill Stein",1,"GRE",1458,"Arizona",2.7
"AtlasIntel","Chase Oliver",0.1,"LIB",1458,"Arizona",2.7
"AtlasIntel","Kamala Harris",47.3,"DEM",1458,"Arizona",2.7
"AtlasIntel","Donald Trump",50.8,"REP",1458,"Arizona",2.7
"AtlasIntel","Kamala Harris",47.1,"DEM",1429,"Georgia",2.7
"AtlasIntel","Donald Trump",50.2,"REP",1429,"Georgia",2.7
"AtlasIntel","Jill Stein",0.9,"GRE",1429,"Georgia",2.7
"AtlasIntel","Chase Oliver",0.6,"LIB",1429,"Georgia",2.7
"AtlasIntel","Kamala Harris",47.5,"DEM",1429,"Georgia",2.7
"AtlasIntel","Donald Trump",50.9,"REP",1429,"Georgia",2.7
"AtlasIntel","Kamala Harris",47.9,"DEM",983,"Michigan",2.7
"AtlasIntel","Donald Trump",49.2,"REP",983,"Michigan",2.7
"AtlasIntel","Jill Stein",1.8,"GRE",983,"Michigan",2.7
"AtlasIntel","Chase Oliver",0.2,"LIB",983,"Michigan",2.7
"AtlasIntel","Kamala Harris",48.1,"DEM",983,"Michigan",2.7
"AtlasIntel","Donald Trump",49.3,"REP",983,"Michigan",2.7
"AtlasIntel","Kamala Harris",47.5,"DEM",1083,"Nevada",2.7
"AtlasIntel","Donald Trump",48.4,"REP",1083,"Nevada",2.7
"AtlasIntel","Kamala Harris",47.6,"DEM",1083,"Nevada",2.7
"AtlasIntel","Donald Trump",48.5,"REP",1083,"Nevada",2.7
"AtlasIntel","Kamala Harris",48.5,"DEM",1665,"North Carolina",2.7
"AtlasIntel","Donald Trump",48.4,"REP",1665,"North Carolina",2.7
"AtlasIntel","Jill Stein",0.8,"GRE",1665,"North Carolina",2.7
"AtlasIntel","Chase Oliver",0.4,"LIB",1665,"North Carolina",2.7
"AtlasIntel","Kamala Harris",48.9,"DEM",1665,"North Carolina",2.7
"AtlasIntel","Donald Trump",48.4,"REP",1665,"North Carolina",2.7
"AtlasIntel","Kamala Harris",46.6,"DEM",1299,"Pennsylvania",2.7
"AtlasIntel","Donald Trump",48.7,"REP",1299,"Pennsylvania",2.7
"AtlasIntel","Jill Stein",0.9,"GRE",1299,"Pennsylvania",2.7
"AtlasIntel","Chase Oliver",0.6,"LIB",1299,"Pennsylvania",2.7
"AtlasIntel","Kamala Harris",46.9,"DEM",1299,"Pennsylvania",2.7
"AtlasIntel","Donald Trump",49.6,"REP",1299,"Pennsylvania",2.7
"AtlasIntel","Kamala Harris",48.1,"DEM",1470,"Wisconsin",2.7
"AtlasIntel","Donald Trump",48.7,"REP",1470,"Wisconsin",2.7
"AtlasIntel","Jill Stein",0.6,"GRE",1470,"Wisconsin",2.7
"AtlasIntel","Chase Oliver",0.5,"LIB",1470,"Wisconsin",2.7
"AtlasIntel","Kamala Harris",48.5,"DEM",1470,"Wisconsin",2.7
"AtlasIntel","Donald Trump",49,"REP",1470,"Wisconsin",2.7
"Data Orbital","Kamala Harris",41.9,"DEM",550,"Arizona",2.9
"Data Orbital","Donald Trump",49.7,"REP",550,"Arizona",2.9
"Data Orbital","Chase Oliver",0.7,"LIB",550,"Arizona",2.9
"Data Orbital","Jill Stein",1,"GRE",550,"Arizona",2.9
"Cygnal","Kamala Harris",43,"DEM",600,"Texas",2.1
"Cygnal","Donald Trump",51,"REP",600,"Texas",2.1
"Trafalgar Group","Kamala Harris",46.2,"DEM",1091,"North Carolina",0.7
"Trafalgar Group","Donald Trump",49.4,"REP",1091,"North Carolina",0.7
"Trafalgar Group","Kamala Harris",47.8,"DEM",1082,"Nevada",0.7
"Trafalgar Group","Donald Trump",47.6,"REP",1082,"Nevada",0.7
"Trafalgar Group","Kamala Harris",45.6,"DEM",1127,"Ohio",0.7
"Trafalgar Group","Donald Trump",51.7,"REP",1127,"Ohio",0.7
"Noble Predictive Insights","Kamala Harris",34,"DEM",695,"Utah",2.4
"Noble Predictive Insights","Donald Trump",54,"REP",695,"Utah",2.4
"Noble Predictive Insights","Chase Oliver",1,"LIB",695,"Utah",2.4
"Noble Predictive Insights","Jill Stein",0,"GRE",695,"Utah",2.4
"Noble Predictive Insights","Joel Skousen",1,"CON",695,"Utah",2.4
"Noble Predictive Insights","Cornel West",0,"IND",695,"Utah",2.4
"Noble Predictive Insights","Claudia De La Cruz",1,"PSL",695,"Utah",2.4
"SurveyUSA","Kamala Harris",51,"DEM",728,"Minnesota",2.8
"SurveyUSA","Donald Trump",43,"REP",728,"Minnesota",2.8
"Monmouth","Kamala Harris",46,"DEM",824,"Pennsylvania",2.9
"Monmouth","Donald Trump",47,"REP",824,"Pennsylvania",2.9
"Quinnipiac","Kamala Harris",46,"DEM",2186,"Pennsylvania",2.8
"Quinnipiac","Donald Trump",47,"REP",2186,"Pennsylvania",2.8
"Quinnipiac","Jill Stein",2,"GRE",2186,"Pennsylvania",2.8
"Quinnipiac","Chase Oliver",1,"LIB",2186,"Pennsylvania",2.8
"Quinnipiac","Kamala Harris",47,"DEM",2186,"Pennsylvania",2.8
"Quinnipiac","Donald Trump",49,"REP",2186,"Pennsylvania",2.8
"Beacon/Shaw","Kamala Harris",48,"DEM",1310,"Pennsylvania",2.8
"Beacon/Shaw","Donald Trump",46,"REP",1310,"Pennsylvania",2.8
"Beacon/Shaw","Jill Stein",1,"GRE",1310,"Pennsylvania",2.8
"Beacon/Shaw","Chase Oliver",1,"LIB",1310,"Pennsylvania",2.8
"Beacon/Shaw","Kamala Harris",48,"DEM",1057,"Pennsylvania",2.8
"Beacon/Shaw","Donald Trump",48,"REP",1057,"Pennsylvania",2.8
"Beacon/Shaw","Jill Stein",1,"GRE",1057,"Pennsylvania",2.8
"Beacon/Shaw","Chase Oliver",0,"LIB",1057,"Pennsylvania",2.8
"Beacon/Shaw","Kamala Harris",50,"DEM",1310,"Pennsylvania",2.8
"Beacon/Shaw","Donald Trump",48,"REP",1310,"Pennsylvania",2.8
"Beacon/Shaw","Kamala Harris",49,"DEM",1057,"Pennsylvania",2.8
"Beacon/Shaw","Donald Trump",50,"REP",1057,"Pennsylvania",2.8
"Beacon/Shaw","Kamala Harris",48,"DEM",988,"Michigan",2.8
"Beacon/Shaw","Donald Trump",46,"REP",988,"Michigan",2.8
"Beacon/Shaw","Robert F. Kennedy",3,"IND",988,"Michigan",2.8
"Beacon/Shaw","Cornel West",1,"IND",988,"Michigan",2.8
"Beacon/Shaw","Jill Stein",0,"GRE",988,"Michigan",2.8
"Beacon/Shaw","Chase Oliver",1,"LIB",988,"Michigan",2.8
"Beacon/Shaw","Kamala Harris",49,"DEM",1275,"Michigan",2.8
"Beacon/Shaw","Donald Trump",45,"REP",1275,"Michigan",2.8
"Beacon/Shaw","Robert F. Kennedy",3,"IND",1275,"Michigan",2.8
"Beacon/Shaw","Cornel West",1,"IND",1275,"Michigan",2.8
"Beacon/Shaw","Jill Stein",0,"GRE",1275,"Michigan",2.8
"Beacon/Shaw","Chase Oliver",1,"LIB",1275,"Michigan",2.8
"Beacon/Shaw","Kamala Harris",49,"DEM",988,"Michigan",2.8
"Beacon/Shaw","Donald Trump",49,"REP",988,"Michigan",2.8
"Beacon/Shaw","Kamala Harris",50,"DEM",1275,"Michigan",2.8
"Beacon/Shaw","Donald Trump",48,"REP",1275,"Michigan",2.8
"Beacon/Shaw","Kamala Harris",47,"DEM",872,"North Carolina",2.8
"Beacon/Shaw","Donald Trump",49,"REP",872,"North Carolina",2.8
"Beacon/Shaw","Cornel West",1,"IND",872,"North Carolina",2.8
"Beacon/Shaw","Jill Stein",1,"GRE",872,"North Carolina",2.8
"Beacon/Shaw","Chase Oliver",1,"LIB",872,"North Carolina",2.8
"Beacon/Shaw","Kamala Harris",48,"DEM",1113,"North Carolina",2.8
"Beacon/Shaw","Donald Trump",47,"REP",1113,"North Carolina",2.8
"Beacon/Shaw","Cornel West",1,"IND",1113,"North Carolina",2.8
"Beacon/Shaw","Jill Stein",1,"GRE",1113,"North Carolina",2.8
"Beacon/Shaw","Chase Oliver",1,"LIB",1113,"North Carolina",2.8
"Beacon/Shaw","Kamala Harris",49,"DEM",872,"North Carolina",2.8
"Beacon/Shaw","Donald Trump",50,"REP",872,"North Carolina",2.8
"Beacon/Shaw","Kamala Harris",50,"DEM",1113,"North Carolina",2.8
"Beacon/Shaw","Donald Trump",49,"REP",1113,"North Carolina",2.8
"CNN/SSRS","Kamala Harris",48,"DEM",726,"Michigan",2.8
"CNN/SSRS","Donald Trump",43,"REP",726,"Michigan",2.8
"CNN/SSRS","Robert F. Kennedy",3,"IND",726,"Michigan",2.8
"CNN/SSRS","Cornel West",1,"IND",726,"Michigan",2.8
"CNN/SSRS","Jill Stein",2,"GRE",726,"Michigan",2.8
